method,agents,freq,makespan,swt,runtime_s,ms_gap%,swt_gap%,rt_gap%,source,compare_against
CENTRAL-ECBS,10,0.2,2516,14887,3.3,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS,10,0.2,2515,14068,90.6,-0.0%,-5.5%,+2645.3%,reimplementation,CENTRAL-ECBS
CENTRAL-ECBS,10,0.5,1230,54856,3.5,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS,10,0.5,1269,60397,515.0,+3.2%,+10.1%,+14613.5%,reimplementation,CENTRAL-ECBS
CENTRAL-ECBS,10,1,1155,142875,4.6,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS,10,1,1166,147208,487.4,+1.0%,+3.0%,+10496.0%,reimplementation,CENTRAL-ECBS
CENTRAL-ECBS,10,2,1129,194109,4.6,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS,10,2,1178,208426,513.7,+4.3%,+7.4%,+11066.8%,reimplementation,CENTRAL-ECBS
CENTRAL-ECBS,10,5,1117,227584,4.6,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS,10,5,1148,235782,396.0,+2.8%,+3.6%,+8509.4%,reimplementation,CENTRAL-ECBS
CENTRAL-ECBS,10,10,1130,239088,4.8,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS,10,10,1142,247275,447.5,+1.1%,+3.4%,+9223.6%,reimplementation,CENTRAL-ECBS
CENTRAL-ECBS,10,500,1101,250555,3.8,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS,10,500,1111,253386,415.8,+0.9%,+1.1%,+10842.8%,reimplementation,CENTRAL-ECBS
CENTRAL-ECBS,20,0.2,2515,13350,12.5,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS,20,0.2,2515,12765,9.6,+0.0%,-4.4%,-23.2%,reimplementation,CENTRAL-ECBS
CENTRAL-ECBS,20,0.5,1034,13996,11.5,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS,20,0.5,1037,15248,51.0,+0.3%,+8.9%,+343.5%,reimplementation,CENTRAL-ECBS
CENTRAL-ECBS,20,1,661,37566,9.9,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS,20,1,724,45774,52.1,+9.5%,+21.8%,+426.3%,reimplementation,CENTRAL-ECBS
CENTRAL-ECBS,20,2,613,81001,13.2,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS,20,2,651,87116,22.5,+6.2%,+7.5%,+70.5%,reimplementation,CENTRAL-ECBS
CENTRAL-ECBS,20,5,603,114776,9.3,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS,20,5,638,120437,29.1,+5.8%,+4.9%,+212.9%,reimplementation,CENTRAL-ECBS
CENTRAL-ECBS,20,10,589,121091,8.1,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS,20,10,654,131511,48.2,+11.0%,+8.6%,+495.1%,reimplementation,CENTRAL-ECBS
CENTRAL-ECBS,20,500,580,131779,6.5,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS,20,500,640,138612,32.5,+10.3%,+5.2%,+400.0%,reimplementation,CENTRAL-ECBS
CENTRAL-ECBS,30,0.2,2520,12780,31.6,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS,30,0.2,2516,11931,4.5,-0.2%,-6.6%,-85.8%,reimplementation,CENTRAL-ECBS
CENTRAL-ECBS,30,0.5,1034,13117,27.8,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS,30,0.5,1034,13324,33.8,+0.0%,+1.6%,+21.6%,reimplementation,CENTRAL-ECBS
CENTRAL-ECBS,30,1,553,15705,14.3,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS,30,1,562,20640,78.5,+1.6%,+31.4%,+449.0%,reimplementation,CENTRAL-ECBS
CENTRAL-ECBS,30,2,449,42945,15.7,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS,30,2,496,51389,40.7,+10.5%,+19.7%,+159.2%,reimplementation,CENTRAL-ECBS
CENTRAL-ECBS,30,5,424,73880,14.0,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS,30,5,482,83165,69.9,+13.7%,+12.6%,+399.3%,reimplementation,CENTRAL-ECBS
CENTRAL-ECBS,30,10,422,82565,12.1,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS,30,10,451,92756,51.2,+6.9%,+12.3%,+323.1%,reimplementation,CENTRAL-ECBS
CENTRAL-ECBS,30,500,419,93657,190.6,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS,30,500,440,97923,55.0,+5.0%,+4.6%,-71.1%,reimplementation,CENTRAL-ECBS
CENTRAL-ECBS,40,0.2,2524,12731,59.6,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS,40,0.2,2515,11695,5.2,-0.4%,-8.1%,-91.3%,reimplementation,CENTRAL-ECBS
CENTRAL-ECBS,40,0.5,1032,12698,54.8,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS,40,0.5,1035,12753,24.5,+0.3%,+0.4%,-55.3%,reimplementation,CENTRAL-ECBS
CENTRAL-ECBS,40,1,555,14169,35.8,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS,40,1,559,15221,91.3,+0.7%,+7.4%,+155.0%,reimplementation,CENTRAL-ECBS
CENTRAL-ECBS,40,2,366,28769,22.4,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS,40,2,412,34067,118.9,+12.6%,+18.4%,+430.8%,reimplementation,CENTRAL-ECBS
CENTRAL-ECBS,40,5,332,54143,18.0,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS,40,5,384,59906,16571.5,+15.7%,+10.6%,+91963.9%,reimplementation,CENTRAL-ECBS
CENTRAL-ECBS,40,10,344,64197,18.4,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS,40,10,377,70969,14294.9,+9.6%,+10.5%,+77589.7%,reimplementation,CENTRAL-ECBS
CENTRAL-ECBS,40,500,334,74470,32.4,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS,40,500,357,79157,71.5,+6.9%,+6.3%,+120.7%,reimplementation,CENTRAL-ECBS
CENTRAL-ECBS,50,0.2,2524,12528,115.7,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS,50,0.2,2515,11481,391.6,-0.4%,-8.4%,+238.5%,reimplementation,CENTRAL-ECBS
