Agents,Freq,TP_MS,TPTS_MS,CENTRAL_MS,H+PBS_MS,H+wPBS_MS,LNS-PBS_MS,LNS-wPBS_MS,TA-Pri_MS,TA-Hyb_MS,TP_SWT,TPTS_SWT,CENTRAL_SWT,H+PBS_SWT,H+wPBS_SWT,LNS-PBS_SWT,LNS-wPBS_SWT,TA-Pri_SWT,TA-Hyb_SWT,TP_RT,TPTS_RT,CENTRAL_RT,H+PBS_RT,H+wPBS_RT,LNS-PBS_RT,LNS-wPBS_RT,TA-Pri_RT,TA-Hyb_RT,Best_MS_Method,Best_SWT_Method,Best_RT_Method
10,0.2,2532,2532,2514,2514,2514,2514,2513,,,,19398,14666,14846,13725,13768,13773,13740,,,0.1,0.6,8.8,2.3,1.7,875.0,879.2,,,LNS-wPBS,H+PBS,TP
10,0.5,1276,1276,1292,1259,1302,1267,1254,,,63558,67062,68203,53992,53928,61161,60286,,,0.1,0.1,22.3,1.0,7.1,752.4,751.9,,,LNS-wPBS,H+wPBS,TP / TPTS
10,1,1195,1172,1215,1190,1215,1188,1197,,,155670,149120,155932,124098,125608,133336,133339,,,0.1,0.1,20.6,6.6,13.7,709.2,715.1,,,TPTS,H+PBS,TP / TPTS
10,2,1169,1147,1181,1163,1164,1147,1179,,,204464,203593,209226,165628,168529,170594,173709,,,0.1,0.1,12.7,16.6,19.7,566.5,570.9,,,TPTS / LNS-PBS,H+PBS,TP / TPTS
10,5,1156,1154,1183,1160,1161,1161,1150,,,239589,240152,246036,193937,193750,200294,198203,,,0.1,0.1,19.1,28.7,31.6,502.5,502.8,,,LNS-wPBS,H+wPBS,TP / TPTS
10,10,1150,1126,1177,1153,1154,1133,1158,,,247525,245381,251024,205013,204188,209270,209354,,,0.1,0.1,13.9,36.4,38.3,481.4,489.9,,,TPTS,H+wPBS,TP / TPTS
10,500,1133,1116,1126,1140,1137,1137,1122,1052,1037,258323,256186,258866,210094,212605,216198,215359,262561,262228,0.1,0.1,14.6,43.6,47.5,455.6,442.0,25.1,3.7,TA-Hybrid,H+PBS,TP / TPTS
20,0.2,2540,2520,2515,2513,2515,2513,2515,,,19108,12682,12765,12087,12320,12084,12320,,,0.1,2.5,9.6,4.4,1.7,873.1,872.2,,,H+PBS / LNS-PBS,LNS-PBS,TP
20,0.5,1068,1040,1037,1024,1036,,,,,21724,15403,15248,13171,13386,,,,,0.2,1.7,51.0,5.4,10.4,,,,,H+PBS,H+PBS,TP
20,1,708,687,724,641,656,,,,,45336,43998,45774,31169,32374,,,,,0.1,0.2,52.1,2.1,18.7,,,,,H+PBS,H+PBS,TP
20,2,686,654,651,609,664,,,,,89402,86651,87116,66164,67770,,,,,0.1,0.2,22.5,3.7,15.8,,,,,H+PBS,H+PBS,TP
20,5,645,653,638,594,613,,,,,122120,121982,120437,93280,93646,,,,,0.1,0.2,29.1,9.1,22.3,,,,,H+PBS,H+PBS,TP
20,10,681,637,654,590,606,,,,,137836,132791,131511,102283,102813,,,,,0.1,0.2,48.2,14.8,32.9,,,,,H+PBS,H+PBS,TP
20,500,629,622,640,582,601,,,542,539,140789,138520,138612,109167,112741,,,137393,138667,0.1,0.2,32.5,18.6,31.8,,,11.4,5.1,TA-Pri,H+PBS,TP
30,0.2,2533,2527,2516,2516,2515,,,,,19581,11942,11931,11995,11812,,,,,0.2,5.1,4.5,10.7,2.7,,,,,H+wPBS,H+wPBS,TP
30,0.5,1082,1035,1034,1023,1029,,,,,22495,13572,13324,12123,12502,,,,,0.3,4.2,33.8,7.7,9.3,,,,,H+PBS,H+PBS,TP
30,1,614,585,562,540,557,,,,,24384,21918,20640,13747,14080,,,,,0.3,0.8,78.5,7.8,39.6,,,,,H+PBS,H+PBS,TP
30,2,545,491,496,438,441,,,,,58179,52221,51389,36026,37743,,,,,0.2,0.7,40.7,3.8,6856.1,,,,,H+PBS,H+PBS,TP
30,5,503,511,482,407,421,,,,,84746,83167,83165,59339,61075,,,,,0.2,0.5,69.9,1357.1,6993.6,,,,,H+PBS,H+PBS,TP
30,10,515,488,451,408,431,,,,,98132,100318,92756,68413,69259,,,,,0.2,1.0,51.2,2727.4,7355.5,,,,,H+PBS,H+PBS,TP
30,500,447,450,440,401,427,,,366,362,99252,97831,97923,76552,77824,,,92244,92744,0.2,0.5,55.0,3802.7,7197.7,,,9.0,7.6,TA-Pri,H+PBS,TP
40,0.2,2541,2524,2515,2516,2515,,,,,19520,11748,11695,11334,11715,,,,,0.2,10.4,5.2,2464.4,829.8,,,,,CENTRAL / H+wPBS,H+PBS,TP
40,0.5,1082,1037,1035,1020,1019,,,,,22433,12993,12753,11575,11951,,,,,0.3,9.0,24.5,16.0,11.4,,,,,H+wPBS,H+PBS,TP
40,1,604,557,559,527,532,,,,,24417,16449,15221,12317,12629,,,,,0.5,7.5,91.3,11.1,30.2,,,,,H+PBS,H+PBS,TP
40,2,493,419,412,346,363,,,,,46540,34947,34067,21980,24092,,,,,0.5,1.4,118.9,4.3,40.4,,,,,H+PBS,H+PBS,TP
40,5,445,400,384,323,329,,,,,70560,66198,59906,43877,44149,,,,,0.4,1.3,16571.5,4.9,31.0,,,,,H+PBS,H+PBS,TP
40,10,385,420,377,313,322,,,,,76654,80121,70969,51623,53496,,,,,0.4,13.4,14294.9,6.1,25.7,,,,,H+PBS,H+PBS,TP
40,500,373,352,357,322,355,,,282,280,79189,79029,79157,59754,62180,,,72478,72857,0.3,0.7,71.5,7.1,41.6,,,7.0,8.4,TA-Pri,H+PBS,TP
50,0.2,2540,2524,2514,2515,2517,2516,2517,,,19958,11553,11458,11075,11610,11080,11606,,,0.3,15.3,6.5,14.7,3.8,882.1,874.6,,,CENTRAL,H+PBS,TP
50,0.5,1063,1036,1032,1020,1020,1020,1020,,,22089,12609,12499,11346,12064,11346,12064,,,0.4,13.3,39.1,14.4,9.7,717.3,729.4,,,4-way tie at 1020,H+PBS / LNS-PBS,TP
50,1,605,553,557,526,552,527,552,,,24859,15049,14129,11839,12305,11817,12243,,,0.5,10.1,81.4,16.5,22.3,532.1,538.5,,,H+PBS,LNS-PBS,TP
50,2,468,383,392,292,331,297,311,,,35635,30556,26667,15247,16354,15572,16333,,,0.5,2.6,153.9,6.1,36.1,291.9,329.0,,,H+PBS,H+PBS,TP
50,5,375,367,320,264,271,272,290,,,62721,52917,48962,34163,35434,34885,37372,,,0.5,3.4,103.2,4.8,35.1,246.4,302.4,,,H+PBS,H+PBS,TP
50,10,372,367,327,263,267,262,271,,,69926,66020,59287,41136,43428,42643,44478,,,0.5,1.6,91.8,4.4,28.3,235.7,279.6,,,LNS-PBS,H+PBS,TP
50,500,376,326,330,257,284,266,281,234,231,68944,68249,69006,49759,51385,50004,51000,59108,59252,0.4,1.1,101.2,6.1,32.4,235.0,259.0,7.6,10.6,TA-Pri,H+PBS,TP
