method,agents,freq,ms_gap%,swt_gap%,rt_gap%,trigger
CENTRAL-ECBS,10,0.2,0.40,0.60,-60.1,rt
CENTRAL-ECBS,20,0.2,0.40,1.20,-79.5,rt
CENTRAL-ECBS,30,0.2,0.00,2.00,-87.7,rt
CENTRAL-ECBS,40,0.2,-0.40,-0.40,-90.2,rt
CENTRAL-ECBS,50,0.2,-0.30,0.10,-87.8,rt
CENTRAL-ECBS,10,0.5,1.50,9.40,11.5,swt+rt
CENTRAL-ECBS,20,0.5,-0.20,2.60,-51.6,rt
CENTRAL-ECBS,30,0.5,-0.20,1.00,-77.8,rt
CENTRAL-ECBS,40,0.5,0.20,1.50,-83.0,rt
CENTRAL-ECBS,50,0.5,-0.10,0.20,-84.1,rt
CENTRAL-ECBS,10,1,-2.80,-2.90,-63.8,rt
CENTRAL-ECBS,20,1,-0.30,1.80,-39.5,rt
CENTRAL-ECBS,30,1,1.40,6.30,-11.9,swt+rt
CENTRAL-ECBS,40,1,0.40,1.70,-58.8,rt
CENTRAL-ECBS,50,1,0.00,1.40,-61.9,rt
CENTRAL-ECBS,10,2,-0.30,0.30,-61.8,rt
CENTRAL-ECBS,20,2,1.30,-2.70,-58.7,rt
CENTRAL-ECBS,30,2,6.50,7.70,-26.1,ms+swt+rt
CENTRAL-ECBS,40,2,1.60,-2.10,-41.8,rt
CENTRAL-ECBS,50,2,-0.60,-1.70,-14.9,rt
CENTRAL-ECBS,10,5,0.30,1.50,-46.6,rt
CENTRAL-ECBS,20,5,0.20,-0.90,-57.4,rt
CENTRAL-ECBS,30,5,3.80,0.60,-54.3,ms+rt
CENTRAL-ECBS,40,5,9.90,3.20,-37.0,ms+swt+rt
CENTRAL-ECBS,50,5,-6.10,1.80,-46.0,ms+rt
CENTRAL-ECBS,10,10,0.00,1.00,-48.7,rt
CENTRAL-ECBS,20,10,1.90,2.40,-54.3,rt
CENTRAL-ECBS,30,10,-0.90,0.30,-59.7,rt
CENTRAL-ECBS,40,10,2.90,-0.10,-45.2,rt
CENTRAL-ECBS,50,10,-3.60,-1.20,-76.9,ms+rt
CENTRAL-ECBS,10,500,-0.60,-1.20,-49.2,rt
CENTRAL-ECBS,20,500,2.10,0.10,-68.0,rt
CENTRAL-ECBS,30,500,-4.30,-0.50,-97.1,ms+rt
CENTRAL-ECBS,40,500,0.60,0.40,-68.3,rt
CENTRAL-ECBS,50,500,1.80,1.70,-36.6,rt
