  Agent 0 seq_id=0 first_task_release=0 tasks=44
  Agent 4 seq_id=1 first_task_release=0 tasks=54
  Agent 8 seq_id=2 first_task_release=0 tasks=49
  Agent 3 seq_id=3 first_task_release=0 tasks=49
  Agent 1 seq_id=4 first_task_release=0 tasks=53
  Agent 2 seq_id=5 first_task_release=0 tasks=50
  Agent 5 seq_id=6 first_task_release=0 tasks=46
  Agent 7 seq_id=7 first_task_release=0 tasks=51
  Agent 6 seq_id=8 first_task_release=0 tasks=52
  Agent 9 seq_id=9 first_task_release=0 tasks=52
  CostFlow: agents=9 tasks=9 maxlen=19 global_makespan=1015
  CostFlow: agents=1 tasks=1 maxlen=1 global_makespan=1016
  CostFlow: agents=5 tasks=5 maxlen=20 global_makespan=1016
  CostFlow: agents=2 tasks=2 maxlen=6 global_makespan=1016
  CostFlow: agents=1 tasks=1 maxlen=6 global_makespan=1016
  CostFlow: agents=1 tasks=1 maxlen=6 global_makespan=1016
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1016
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1016
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1016
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1016
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1016
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1016
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1016
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1016
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1016
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1016
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1016
  CostFlow: agents=1 tasks=1 maxlen=18 global_makespan=1016
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1016
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1016
  CostFlow: agents=1 tasks=1 maxlen=24 global_makespan=1016
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1016
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1016
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1016
  CostFlow: agents=1 tasks=1 maxlen=38 global_makespan=1016
  CostFlow: agents=1 tasks=1 maxlen=38 global_makespan=1016
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1016
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1016
