==========================================================================================
MAPD Reference Code Experiment Results (Final)
==========================================================================================

Algorithm            Agents   Freq   Makespan        SWT       AvgSvc    Runtime
-------------------- ------ ------ ---------- ---------- ------------ ----------

=== 10 Agents ===
TP                       10    0.2       2532      19270         38.5        N/A
TPTS                     10    0.2       2532      14666         29.3        N/A
CENTRAL                  10    0.2       2516     29.774          0.1    2.68575
CENTRAL-FIXED            10    0.2         TO         TO           TO         TO
LNS-PBS                  10    0.2       2910        220          N/A      3.00s
LNS-wPBS                 10    0.2       4995         96          N/A      0.06s
TP                       10    0.5       1309      66393        132.8        N/A
TPTS                     10    0.5       1274      65574        131.1        N/A
CENTRAL                  10    0.5       1230    109.712          0.2    6.22768
CENTRAL-FIXED            10    0.5       1212      49686         99.4        N/A
LNS-PBS                  10    0.5       2730        220          N/A      2.81s
LNS-wPBS                 10    0.5       4995         96          N/A      0.06s
TP                       10      1       1198     155890        311.8        N/A
TPTS                     10      1       1182     150514        301.0        N/A
CENTRAL                  10      1       1155     285.75          0.6    7.66941
CENTRAL-FIXED            10      1       1129     137668        275.3        N/A
LNS-PBS                  10      1       2515        225          N/A      2.51s
LNS-wPBS                 10      1       4995         96          N/A      0.05s
TP                       10      2       1167     203809        407.6        N/A
TPTS                     10      2       1168     203618        407.2        N/A
CENTRAL                  10      2       1129    388.218          0.8    8.38072
CENTRAL-FIXED            10      2       1090     189470        378.9        N/A
LNS-PBS                  10      2       2315        225          N/A      2.30s
LNS-wPBS                 10      2       4995         96          N/A      0.05s
TP                       10      5       1162     236892        473.8        N/A
TPTS                     10      5       1165     236590        473.2        N/A
CENTRAL                  10      5       1117    455.168          0.9     8.5848
CENTRAL-FIXED            10      5       1090     223973        447.9        N/A
LNS-PBS                  10      5       2165        225          N/A      2.14s
LNS-wPBS                 10      5       4995         96          N/A      0.05s
TP                       10     10       1163     247964        495.9        N/A
TPTS                     10     10       1172     252631        505.3        N/A
CENTRAL                  10     10       1130    478.176          1.0    8.18174
CENTRAL-FIXED            10     10       1080     234623        469.2        N/A
LNS-PBS                  10     10       1895        225          N/A      1.91s
LNS-wPBS                 10     10       4995         96          N/A      0.05s
TP                       10    500       1136     256428        512.9        N/A
TPTS                     10    500       1105     254750        509.5        N/A
CENTRAL                  10    500       1101     501.11          1.0    6.30495
CENTRAL-FIXED            10    500       1088     246260        492.5        N/A
LNS-PBS                  10    500       1685        225          N/A      1.76s
LNS-wPBS                 10    500       4995         96          N/A      0.05s
TA-Prioritized           10    500       1053      10304         20.6        N/A
TA-Hybrid                10    500       1064        N/A          N/A      8.77s

=== 50 Agents ===
TP                       50    0.2       2540      20016         40.0        N/A
TPTS                     50    0.2       2524      11553         23.1        N/A
CENTRAL                  50    0.2       2524     25.056          0.1    84.3964
CENTRAL-FIXED            50    0.2         TO         TO           TO         TO
LNS-PBS                  50    0.2        240       1367          N/A      8.95s
LNS-wPBS                 50    0.2       4530        489          N/A      0.85s
TP                       50    0.5       1083      21832         43.7        N/A
TPTS                     50    0.5       1036      12609         25.2        N/A
CENTRAL                  50    0.5       1035     24.942          0.0    189.137
CENTRAL-FIXED            50    0.5         TO         TO           TO         TO
LNS-PBS                  50    0.5        180       1493          N/A      6.86s
LNS-wPBS                 50    0.5       3735        487          N/A      0.73s
TP                       50      1        597      24570         49.1        N/A
TPTS                     50      1        554      15134         30.3        N/A
CENTRAL                  50      1        553     27.384          0.1     234.58
CENTRAL-FIXED            50      1        526      10284         20.6        N/A
LNS-PBS                  50      1        120       1395          N/A      4.97s
LNS-wPBS                 50      1       2550        489          N/A      0.49s
TP                       50      2        432      37817         75.6        N/A
TPTS                     50      2        383      29030         58.1        N/A
CENTRAL                  50      2        335     41.436          0.1    144.135
CENTRAL-FIXED            50      2        303      14590         29.2        N/A
LNS-PBS                  50      2         80       1482          N/A      3.21s
LNS-wPBS                 50      2       1440        489          N/A      0.30s
TP                       50      5        395      62294        124.6        N/A
TPTS                     50      5        343      52428        104.9        N/A
CENTRAL                  50      5        313     86.904          0.2    179.947
CENTRAL-FIXED            50      5        284      38822         77.6        N/A
LNS-PBS                  50      5      CRASH      CRASH        CRASH      CRASH
LNS-wPBS                 50      5        225        487          N/A      0.06s
TP                       50     10        333      65711        131.4        N/A
TPTS                     50     10        319      63482        127.0        N/A
CENTRAL                  50     10        304    106.702          0.2    563.305
CENTRAL-FIXED            50     10        272      49192         98.4        N/A
LNS-PBS                  50     10       4995       1215          N/A    240.28s
LNS-wPBS                 50     10       4995        487          N/A      1.00s
TP                       50    500        336      68302        136.6        N/A
TPTS                     50    500        338      68049        136.1        N/A
CENTRAL                  50    500         TO         TO           TO         TO
CENTRAL-FIXED            50    500        266      58901        117.8        N/A
LNS-PBS                  50    500       4995       1215          N/A    243.96s
LNS-wPBS                 50    500       4995        487          N/A      1.04s
TA-Prioritized           50    500        238      10624         21.2        N/A
TA-Hybrid                50    500        231        N/A          N/A     19.43s

==========================================================================================
