Agents,Freq,TP_MS,TPTS_MS,CENTRAL_MS,H+PBS_MS,H+wPBS_MS,LNS-PBS_MS,LNS-wPBS_MS,TA-Pri_MS,TA-Hyb_MS,TP_SWT,TPTS_SWT,CENTRAL_SWT,H+PBS_SWT,H+wPBS_SWT,LNS-PBS_SWT,LNS-wPBS_SWT,TA-Pri_SWT,TA-Hyb_SWT,TP_RT,TPTS_RT,CENTRAL_RT,H+PBS_RT,H+wPBS_RT,LNS-PBS_RT,LNS-wPBS_RT,TA-Pri_RT,TA-Hyb_RT,Best_MS_Method,Best_SWT_Method,Best_RT_Method
10,0.2,2532,2532,2516,2512,2512,2513,2512,,,19270,14666,14887,13707,13751,13667,13626,,,0.910,0.910,3.284,0.357,0.100,347.911,338.919,,,H+PBS / H+wPBS / LNS-wPBS,LNS-wPBS,H+wPBS
10,0.5,1309,1274,1230,1294,1319,1277,1287,,,66393,65574,54856,53758,52438,53380,50458,,,0.272,0.272,3.456,1.252,0.262,591.061,574.018,,,CENTRAL,LNS-wPBS,H+wPBS
10,1,1198,1182,1155,1197,1213,1205,1237,,,155890,150514,142875,123143,122441,125233,125871,,,0.305,0.305,4.577,4.775,3.969,580.623,558.801,,,CENTRAL,H+wPBS,TP / TPTS
10,2,1167,1168,1129,1157,1199,1150,1205,,,203809,203618,194109,165857,167477,167070,164495,,,0.324,0.324,4.559,14.330,13.314,455.907,448.854,,,CENTRAL,LNS-wPBS,TP / TPTS
10,5,1162,1165,1117,1151,1214,1158,1209,,,236892,236590,227584,194487,195327,195385,195176,,,0.343,0.343,4.571,28.228,25.454,405.610,398.700,,,CENTRAL,H+PBS,TP / TPTS
10,10,1163,1172,1130,1147,1180,1162,1197,,,247964,252631,239088,204639,203401,203822,204995,,,0.325,0.325,4.786,36.035,32.286,386.097,378.068,,,CENTRAL,H+wPBS,TP / TPTS
10,500,1136,1105,1101,1141,1171,1131,1192,1053,1037,256428,254750,250555,212725,211201,211914,211858,262854,262228,0.293,0.293,3.831,41.131,41.146,392.959,372.453,0.631,3.7,TA-Pri,H+wPBS,TP / TPTS
50,0.2,2540,2524,2524,2513,2512,2513,2512,,,20016,11553,12528,11338,11779,11338,11779,,,29.919,29.919,115.670,2.385,1.522,286.064,284.137,,,H+wPBS / LNS-wPBS,H+PBS / LNS-PBS,H+wPBS
50,0.5,1083,1036,1035,1027,1037,1027,1030,,,21832,12609,12471,11690,11909,11690,11935,,,25.061,25.061,111.730,7.654,3.216,740.830,678.102,,,H+PBS / LNS-PBS,H+PBS / LNS-PBS,H+wPBS
50,1,597,554,553,527,530,527,526,,,24570,15134,13692,11860,12331,11860,12269,,,29.006,29.006,69.167,17.103,4.924,969.853,966.566,,,LNS-wPBS,H+PBS / LNS-PBS,H+wPBS
50,2,432,383,335,295,303,296,301,,,37817,29030,20718,15041,14618,15061,14396,,,21.762,21.762,30.522,37.055,7.542,937.479,867.616,,,H+PBS,LNS-wPBS,H+wPBS
50,5,395,343,313,266,262,276,275,,,62294,52428,43452,34363,33165,34603,33860,,,9.109,9.109,32.675,59.084,8.572,847.101,741.901,,,H+wPBS,H+wPBS,H+wPBS
50,10,333,319,304,269,267,255,260,,,65711,63482,53351,42342,41188,42045,41321,,,4.319,4.319,91.846,60.518,11.199,844.798,778.394,,,LNS-PBS,H+wPBS,TP / TPTS
50,500,336,338,273,250,256,257,249,238,231,68302,68049,62172,50491,50638,49963,50138,59970,59252,14.341,14.341,26.970,53.315,20.904,850.507,762.953,0.732,10.6,TA-Pri,LNS-PBS,TA-Pri
